District,Category,Male,Female
ashanti,Calcium (mg.),73.52748810193572,82.44166382107461
ashanti,Folate (mcg.),44.90189579428836,53.46059540622279
ashanti,Iron (mg.),45.81974018283308,56.21719675038446
ashanti,Kilocalories (kcal),43.60341623816363,50.04782770616974
ashanti,Niacin (mg.),49.75357070844965,60.36561278131518
ashanti,Proteins (g.),74.84882186126,83.87379318404473
ashanti,Riboflavin (mg.),39.24753102489146,50.78207495760529
ashanti,Thiamin (mg.),31.91041949694629,38.49259281138428
ashanti,Vitamin A (mcg.),69.98012440706631,76.03939626013627
ashanti,Vitamin B12 (mcg.),70.87809578932305,74.09800808241638
ashanti,Vitamin B6 (mg.),45.85175913504821,55.87121197198888
ashanti,Vitamin C (mg.),86.31024900140837,93.67927199611375
ashanti,Zinc (mg.),36.58264269202052,44.69616445235985
volta,Calcium (mg.),74.66080115370102,83.7674989745462
volta,Folate (mcg.),56.37394485726519,63.01184917575529
volta,Iron (mg.),56.19573084797872,63.07162018087681
volta,Kilocalories (kcal),53.15316450725865,56.90954565945136
volta,Niacin (mg.),56.63860625964191,62.60961662613457
volta,Proteins (g.),80.06881127745221,86.29549711758818
volta,Riboflavin (mg.),42.32589506152509,51.90723839801554
volta,Thiamin (mg.),46.34865274647487,51.22007273453467
volta,Vitamin A (mcg.),76.38853599815643,82.4243597102518
volta,Vitamin B12 (mcg.),71.49665730196062,79.0971547999948
volta,Vitamin B6 (mg.),51.70701843797256,55.55914175099054
volta,Vitamin C (mg.),87.73558908360168,90.75871290123926
volta,Zinc (mg.),42.88583790994668,46.36993734826229
northern,Calcium (mg.),57.14626030657161,67.43465056122288
northern,Folate (mcg.),54.50012583400142,57.22043362668003
northern,Iron (mg.),54.78988520970243,52.36181091892718
northern,Kilocalories (kcal),50.027004042502,52.76107815511443
northern,Niacin (mg.),54.80572905576699,56.47816091601894
northern,Proteins (g.),77.66205666720627,79.44529681713767
northern,Riboflavin (mg.),39.02296881751866,42.63905049929578
northern,Thiamin (mg.),46.56503128403445,46.11855535790527
northern,Vitamin A (mcg.),44.84248915023071,56.63930331624366
northern,Vitamin B12 (mcg.),39.46040520769066,52.74304870622841
northern,Vitamin B6 (mg.),47.27211915008889,43.6105357620004
northern,Vitamin C (mg.),69.08386744480156,71.7583904639387
northern,Zinc (mg.),42.69911076225304,38.67329155514587
eastern,Calcium (mg.),83.22471422829295,92.2725181198158
eastern,Folate (mcg.),49.08618682887853,57.78933007502828
eastern,Iron (mg.),56.99730365746609,64.46511083781824
eastern,Kilocalories (kcal),49.39270905179175,55.64384678585719
eastern,Niacin (mg.),55.0358499080432,64.14292967023847
eastern,Proteins (g.),82.87932078425044,89.59733049741425
eastern,Riboflavin (mg.),47.24225888739652,57.1201075919775
eastern,Thiamin (mg.),39.68793151012178,43.86559497284767
eastern,Vitamin A (mcg.),82.60771503625398,85.96430962203982
eastern,Vitamin B12 (mcg.),80.22177226935514,88.27492422935825
eastern,Vitamin B6 (mg.),53.36920668039271,57.95826416788415
eastern,Vitamin C (mg.),91.7042908510587,92.9203995664037
eastern,Zinc (mg.),42.66714902782872,47.01119921555071
upper east,Calcium (mg.),55.4056452251608,69.0764858396274
upper east,Folate (mcg.),49.87560930350294,55.83388168832033
upper east,Iron (mg.),59.35497208606253,64.10851018901451
upper east,Kilocalories (kcal),43.86315524464076,48.32916563337528
upper east,Niacin (mg.),47.07656527760886,54.06006616468149
upper east,Proteins (g.),72.74291999782201,79.89376389606507
upper east,Riboflavin (mg.),38.18476700668544,44.77787387855194
upper east,Thiamin (mg.),44.94985919022086,47.86200728929757
upper east,Vitamin A (mcg.),38.02483356569113,45.70664052111051
upper east,Vitamin B12 (mcg.),19.05049427027964,24.18863679110497
upper east,Vitamin B6 (mg.),38.48676349651359,42.91823466079646
upper east,Vitamin C (mg.),50.97581349311239,62.25329908758831
upper east,Zinc (mg.),40.40322072074201,42.74547435156543
brong ahafo,Calcium (mg.),73.5801609460092,82.07233185579682
brong ahafo,Folate (mcg.),53.64797975804955,57.31607583734174
brong ahafo,Iron (mg.),56.67936263904915,58.7148638406033
brong ahafo,Kilocalories (kcal),52.10285093880658,53.93468475560331
brong ahafo,Niacin (mg.),55.70704191741166,61.96834718457089
brong ahafo,Proteins (g.),79.53049541085092,83.21592730621929
brong ahafo,Riboflavin (mg.),41.3966180176558,49.96175318005893
brong ahafo,Thiamin (mg.),41.40589774719863,42.23954657805761
brong ahafo,Vitamin A (mcg.),63.56023290330828,72.01788317194527
brong ahafo,Vitamin B12 (mcg.),60.89312179822301,68.17497551305756
brong ahafo,Vitamin B6 (mg.),58.96457588257675,58.23504827226776
brong ahafo,Vitamin C (mg.),91.91051501746078,93.1709433692912
brong ahafo,Zinc (mg.),46.17526657883523,46.79845167353599
greater accra,Calcium (mg.),78.37320473787572,86.25122555601678
greater accra,Folate (mcg.),46.29945035911756,55.33859117211681
greater accra,Iron (mg.),46.38290545566025,55.23921933644315
greater accra,Kilocalories (kcal),42.47289932086646,50.17432964130298
greater accra,Niacin (mg.),52.92665693894487,62.30223915833442
greater accra,Proteins (g.),81.1082368400661,87.97110475286573
greater accra,Riboflavin (mg.),44.66398078984854,54.56359057260261
greater accra,Thiamin (mg.),34.46975011240682,40.98121450790825
greater accra,Vitamin A (mcg.),76.98744815406252,83.75670667607055
greater accra,Vitamin B12 (mcg.),83.21699457080658,84.86602575560612
greater accra,Vitamin B6 (mg.),49.18257000011623,57.81138438466301
greater accra,Vitamin C (mg.),86.26101849007257,91.42185346693957
greater accra,Zinc (mg.),37.60880839746544,45.16727777360337
upper west,Calcium (mg.),42.77185359966528,55.96264958017681
upper west,Folate (mcg.),50.63652503587129,59.59502854586417
upper west,Iron (mg.),51.09340923927002,55.47066998919448
upper west,Kilocalories (kcal),47.68559066560095,55.07356426004573
upper west,Niacin (mg.),49.27115553380781,58.31131887029671
upper west,Proteins (g.),68.81246269182722,75.67246777365223
upper west,Riboflavin (mg.),33.02936017364906,42.18865649087974
upper west,Thiamin (mg.),45.07011859392089,52.02912854025414
upper west,Vitamin A (mcg.),30.56699400124764,40.24381876326791
upper west,Vitamin B12 (mcg.),23.7912163845577,28.60368191991871
upper west,Vitamin B6 (mg.),39.55101644920283,47.84706628416402
upper west,Vitamin C (mg.),61.35831135241664,73.79560985563448
upper west,Zinc (mg.),37.20696269100145,41.61651171613501
western,Calcium (mg.),77.2708623873842,79.44754268015443
western,Folate (mcg.),41.9687779403972,44.91862899808012
western,Iron (mg.),53.33466248066521,54.01433069271939
western,Kilocalories (kcal),48.18062884852964,46.93487624808927
western,Niacin (mg.),54.81955198758396,59.07751507531778
western,Proteins (g.),79.65529938397219,82.06057401978411
western,Riboflavin (mg.),47.886399195821,53.13390508729682
western,Thiamin (mg.),35.69611725255553,34.66240548644202
western,Vitamin A (mcg.),75.58334952477671,77.90243856198788
western,Vitamin B12 (mcg.),60.448846397304,69.10321747477971
western,Vitamin B6 (mg.),51.38937413470401,49.33532743669829
western,Vitamin C (mg.),87.702459314374,88.7343593876604
western,Zinc (mg.),43.66995210474773,39.64930926554342
central,Calcium (mg.),82.25364015413291,85.63356619021651
central,Folate (mcg.),46.52682372466115,54.17992559406653
central,Iron (mg.),51.96213269680907,59.88142494730129
central,Kilocalories (kcal),47.63617584394492,54.01592471725681
central,Niacin (mg.),58.66026428190407,64.5701750125948
central,Proteins (g.),85.25862887821255,87.1858072505737
central,Riboflavin (mg.),47.18669434565772,54.71065870475754
central,Thiamin (mg.),37.3214849666863,43.14675949987324
central,Vitamin A (mcg.),83.51202181990769,89.38213732011042
central,Vitamin B12 (mcg.),87.60240435616946,85.37107824599033
central,Vitamin B6 (mg.),49.39826802854823,54.01890679740288
central,Vitamin C (mg.),89.28003417974746,91.86697441968435
central,Zinc (mg.),45.65038950516266,51.88207266767134
